Year,Period,All,Rice,Contri
1995,Jan,6.1,5.4,0.47892202
1995,Feb,5.6,5.1,0.452315241
1995,Mar,6,5.1,0.452315241
1995,Apr,6,5.6,0.496659872
1995,May,6.2,7,0.62082484
1995,Jun,6.5,8.3,0.736120882
1995,Jul,6.3,10.3,0.913499408
1995,Aug,6.8,16.6,1.472241764
1995,Sep,8,26.8,2.376872246
1995,Oct,8.2,25.3,2.243838351
1995,Nov,8.4,23.6,2.093066604
1995,Dec,8.2,22.5,1.995508415
1996,Jan,9.5,29.3,2.598595403
1996,Feb,9.3,31,2.74936715
1996,Mar,9.5,30.4,2.696153592
1996,Apr,9.4,29.6,2.625202182
1996,May,9.2,27.8,2.465561509
1996,Jun,8.9,25.6,2.27044513
1996,Jul,8.7,22.1,1.96003271
1996,Aug,8.2,14.1,1.250518607
1996,Sep,6.7,4.4,0.390232757
1996,Oct,6.7,4.9,0.434577388
1996,Nov,6.6,5.1,0.452315241
1996,Dec,7.4,6.3,0.558742356
1997,Jan,5.4,-1.7,-0.150771747
1997,Feb,5.2,-2.8,-0.248329936
1997,Mar,5.5,-1.9,-0.1685096
1997,Apr,5.2,-1.7,-0.150771747
1997,May,5,-2,-0.177378526
1997,Jun,5.6,-1.9,-0.1685096
1997,Jul,5.6,-1.7,-0.150771747
1997,Aug,5.4,0.4,0.035475705
1997,Sep,5.7,1.1,0.097558189
1997,Oct,5.9,1.8,0.159640673
1997,Nov,6.7,2.9,0.257198862
1997,Dec,6.5,2.2,0.195116378
1998,Jan,6.6,2.5,0.221723157
1998,Feb,7.7,2.9,0.257198862
1998,Mar,8.2,2.6,0.230592084
1998,Apr,8.7,2.3,0.203985305
1998,May,9.8,2.6,0.230592084
1998,Jun,10.2,4.8,0.425708462
1998,Jul,10.1,5.1,0.452315241
1998,Aug,10.1,3.2,0.283805641
1998,Sep,10.2,5.5,0.487790946
1998,Oct,10,2.9,0.257198862
1998,Nov,10.6,4.8,0.425708462
1998,Dec,10,3.6,0.319281346
1999,Jan,10.7,5.6,0.496659872
1999,Feb,9.3,5.6,0.496659872
1999,Mar,7.9,5.2,0.461184167
1999,Apr,7.4,5.1,0.452315241
1999,May,6.1,4.4,0.390232757
1999,Jun,5.3,2.4,0.212854231
1999,Jul,5.1,2.1,0.186247452
1999,Aug,4.8,1.7,0.150771747
1999,Sep,4.9,-1.2,-0.106427115
1999,Oct,5.1,0.5,0.044344631
1999,Nov,3.9,-2.2,-0.195116378
1999,Dec,3.9,-0.2,-0.017737853
2000,Jan,5.5,-1.7,-0.150771747
2000,Feb,5.6,-1,-0.088689263
2000,Mar,5.9,-0.6,-0.053213558
2000,Apr,6.2,-0.1,-0.008868926
2000,May,6.5,1.1,0.097558189
2000,Jun,6.1,1.3,0.115296042
2000,Jul,6.5,2.1,0.186247452
2000,Aug,6.8,2.8,0.248329936
2000,Sep,6.5,3,0.266067789
2000,Oct,6.9,4,0.354757052
2000,Nov,7.8,5.1,0.452315241
2000,Dec,8.7,5.1,0.452315241
2001,Jan,5.8,4.4,0.390232757
2001,Feb,5.8,2.8,0.248329936
2001,Mar,5.8,2.4,0.212854231
2001,Apr,5.5,2.2,0.195116378
2001,May,5.5,1.4,0.124164968
2001,Jun,5.9,1.4,0.124164968
2001,Jul,6,1.1,0.097558189
2001,Aug,5.7,0.4,0.035475705
2001,Sep,5.7,0.4,0.035475705
2001,Oct,5.2,0.1,0.008868926
2001,Nov,4.2,-0.1,-0.008868926
2001,Dec,3.7,-0.2,-0.017737853
2002,Jan,3.3,0.5,0.044344631
2002,Feb,2.9,0.9,0.079820337
2002,Mar,3.3,1.2,0.106427115
2002,Apr,3.4,0.9,0.079820337
2002,May,3.2,1.3,0.115296042
2002,Jun,2.6,1.1,0.097558189
2002,Jul,2.5,1.8,0.159640673
2002,Aug,2.7,3.7,0.328150273
2002,Sep,2.5,5.5,0.487790946
2002,Oct,2.3,4.2,0.372494904
2002,Nov,2.1,3.7,0.328150273
2002,Dec,2.1,3.4,0.301543494
2003,Jan,1.7,2.2,0.195116378
2003,Feb,2.3,2.3,0.203985305
2003,Mar,2.1,1.9,0.1685096
2003,Apr,2.2,2.3,0.203985305
2003,May,2.2,2.5,0.221723157
2003,Jun,2.8,2.8,0.248329936
2003,Jul,2.3,2.4,0.212854231
2003,Aug,2.2,0.6,0.053213558
2003,Sep,2.2,-1.4,-0.124164968
2003,Oct,2.3,-0.7,-0.062082484
2003,Nov,2.4,-0.1,-0.008868926
2003,Dec,2.5,0.1,0.008868926
2004,Jan,3.1,0.6,0.053213558
2004,Feb,2.9,0.7,0.062082484
2004,Mar,3.1,1.4,0.124164968
2004,Apr,3.2,1.9,0.1685096
2004,May,3.6,1.6,0.141902821
2004,Jun,4.1,1.9,0.1685096
2004,Jul,5.5,2.4,0.212854231
2004,Aug,5.7,3.6,0.319281346
2004,Sep,6.2,3.7,0.328150273
2004,Oct,6.3,3.5,0.31041242
2004,Nov,6.8,3.8,0.337019199
2004,Dec,7.1,4,0.354757052
2005,Jan,7.3,4.2,0.372494904
2005,Feb,7.3,4.4,0.390232757
2005,Mar,7.1,4.5,0.399101683
2005,Apr,7.2,5.8,0.514397725
2005,May,7.3,7.4,0.656300545
2005,Jun,6.7,7.7,0.682907324
2005,Jul,6,7.4,0.656300545
2005,Aug,6.1,7.1,0.629693767
2005,Sep,6,7.6,0.674038398
2005,Oct,6.2,8.1,0.718383029
2005,Nov,6.2,8,0.709514103
2005,Dec,5.9,7.9,0.700645177
2006,Jan,5.9,7.8,0.691776251
2006,Feb,6.5,7.7,0.682907324
2006,Mar,6.6,7.5,0.665169472
2006,Apr,6.3,5.6,0.496659872
2006,May,6,4.5,0.399101683
2006,Jun,5.9,3.7,0.328150273
2006,Jul,5.5,2.9,0.257198862
2006,Aug,5.2,2,0.177378526
2006,Sep,4.9,1.3,0.115296042
2006,Oct,4.7,1.7,0.150771747
2006,Nov,4.2,2,0.177378526
2006,Dec,4.1,2,0.177378526
2007,Jan,3.8,2.3,0.203985305
2007,Feb,2.9,2.3,0.203985305
2007,Mar,2.6,2.1,0.186247452
2007,Apr,2.6,2,0.177378526
2007,May,2.7,1.9,0.1685096
2007,Jun,2.6,1.9,0.1685096
2007,Jul,2.9,2.1,0.186247452
2007,Aug,2.7,2.6,0.230592084
2007,Sep,2.9,5.3,0.470053093
2007,Oct,2.9,5.6,0.496659872
2007,Nov,3.1,5.7,0.505528799
2007,Dec,3.7,5.9,0.523266651
2008,Jan,4.6,6.5,0.576480209
2008,Feb,5.1,6.5,0.576480209
2008,Mar,5.9,8.8,0.780465514
2008,Apr,7.3,18.6,1.64962029
2008,May,8.2,23.5,2.084197678
2008,Jun,9.4,31.3,2.775973929
2008,Jul,10.2,36.4,3.22828917
2008,Aug,10.5,34.6,3.068648496
2008,Sep,10.1,28.5,2.527643993
2008,Oct,9.7,24.9,2.208362646
2008,Nov,9.1,23,2.039853047
2008,Dec,7.8,21.9,1.942294858
2009,Jan,7.1,22.1,1.96003271
2009,Feb,7.2,24.6,2.181755867
2009,Mar,6.6,22.9,2.03098412
2009,Apr,5.6,13.6,1.206173975
2009,May,4.3,9.1,0.807072292
2009,Jun,3.2,2.6,0.230592084
2009,Jul,2.2,-2,-0.177378526
2009,Aug,1.7,-1.6,-0.141902821
2009,Sep,2.3,0.4,0.035475705
2009,Oct,2.9,2.6,0.230592084
2009,Nov,3.5,4.4,0.390232757
2009,Dec,4.4,5.4,0.47892202
2010,Jan,3.9,4.8,0.425708462
2010,Feb,3.9,3.1,0.274936715
2010,Mar,3.9,3,0.266067789
2010,Apr,4,1.7,0.150771747
2010,May,3.9,1.1,0.097558189
2010,Jun,3.6,1,0.088689263
2010,Jul,3.7,2.3,0.203985305
2010,Aug,4.1,3.1,0.274936715
2010,Sep,3.8,4.1,0.363625978
2010,Oct,3.2,5.1,0.452315241
2010,Nov,3.7,5.4,0.47892202
2010,Dec,3.6,5.2,0.461184167
2011,Jan,4,5.5,0.487790946
2011,Feb,4.7,5.3,0.470053093
2011,Mar,4.9,4.8,0.425708462
2011,Apr,4.7,5.5,0.487790946
2011,May,4.9,5.8,0.514397725
2011,Jun,5.2,6,0.532135577
2011,Jul,4.9,4.7,0.416839536
2011,Aug,4.6,4,0.354757052
2011,Sep,4.7,3.3,0.292674568
2011,Oct,5.2,2.7,0.23946101
2011,Nov,4.7,1.6,0.141902821
2011,Dec,4.2,1.3,0.115296042
2012,Jan,4.1,0.4,0.035475705
2012,Feb,3,0.1,0.008868926
2012,Mar,2.9,0.3,0.026606779
2012,Apr,3.2,0,0
2012,May,2.9,0.2,0.017737853
2012,Jun,2.7,0.2,0.017737853
2012,Jul,3.1,0.8,0.07095141
2012,Aug,3.7,1.4,0.124164968
2012,Sep,3.6,1.6,0.141902821
2012,Oct,3.2,1.3,0.115296042
2012,Nov,2.8,1.9,0.1685096
2012,Dec,2.9,2.1,0.186247452
2013,Jan,2.8,1.8,0.159640673
2013,Feb,2.9,2,0.177378526
2013,Mar,2.7,1.5,0.133033894
2013,Apr,2.2,1.3,0.115296042
2013,May,2.3,1.1,0.097558189
2013,Jun,2.5,1.2,0.106427115
2013,Jul,2.4,1.8,0.159640673
2013,Aug,1.8,3,0.266067789
2013,Sep,2.3,6.3,0.558742356
2013,Oct,2.4,7,0.62082484
2013,Nov,2.9,7.3,0.647431619
2013,Dec,3.8,8.4,0.744989808
2014,Jan,3.7,9.4,0.833679071
2014,Feb,3.6,9.8,0.869154776
2014,Mar,3.5,11.2,0.993319744
2014,Apr,3.6,11.7,1.037664376
2014,May,4,12.5,1.108615786
2014,Jun,3.8,13.3,1.179567197
2014,Jul,4.2,14.3,1.268256459
2014,Aug,4.2,13.3,1.179567197
2014,Sep,3.9,10.1,0.895761555
2014,Oct,3.7,9.7,0.86028585
2014,Nov,3,9.2,0.815941219
2014,Dec,1.9,7.9,0.700645177
2015,Jan,1.5,6.9,0.611955914
2015,Feb,1.5,5.4,0.47892202
2015,Mar,1.5,3.4,0.301543494
2015,Apr,1.4,2.6,0.230592084
2015,May,0.9,1.5,0.133033894
2015,Jun,0.6,0.3,0.026606779
2015,Jul,0.2,-1.5,-0.133033894
2015,Aug,0,-2.5,-0.221723157
2015,Sep,-0.4,-2.8,-0.248329936
2015,Oct,-0.2,-2.8,-0.248329936
2015,Nov,0.3,-2.7,-0.23946101
2015,Dec,0.7,-2.5,-0.221723157
2016,Jan,0.7,-2.4,-0.212854231
2016,Feb,0.5,-1.8,-0.159640673
2016,Mar,0.6,-1.4,-0.124164968
2016,Apr,0.7,-1,-0.088689263
2016,May,0.9,-0.9,-0.079820337
2016,Jun,1.3,-0.7,-0.062082484
2016,Jul,1.3,0,0
2016,Aug,1.3,0.4,0.035475705
2016,Sep,1.7,0.5,0.044344631
2016,Oct,1.8,0.6,0.053213558
2016,Nov,2.1,0.6,0.053213558
2016,Dec,2.2,0.5,0.044344631
2017,Jan,2.5,0.9,0.079820337
2017,Feb,3.1,0.8,0.07095141
2017,Mar,3.1,1,0.088689263
2017,Apr,3.2,1,0.088689263
2017,May,2.9,1.2,0.106427115
2017,Jun,2.5,1.3,0.115296042
2017,Jul,2.4,1,0.088689263
2017,Aug,2.6,0.9,0.079820337
2017,Sep,3,0.7,0.062082484
2017,Oct,3.1,0.6,0.053213558
2017,Nov,3,0.8,0.07095141
2017,Dec,2.9,1.2,0.106427115
2018,Jan,3.5,0.1,0.008868926
2018,Feb,3.7,1,0.088689263
2018,Mar,4.3,2.5,0.221723157
2018,Apr,4.3,3.3,0.292674568
2018,May,4.6,3.9,0.345888125
2018,Jun,5,4.4,0.390232757
2018,Jul,5.8,5.1,0.452315241
2018,Aug,6.6,7.5,0.665169472
2018,Sep,6.9,12,1.064271155
2018,Oct,6.9,12.6,1.117484713
2018,Nov,6.1,9,0.798203366
2018,Dec,5.2,6.4,0.567611283
2019,Jan,4.4,6.2,0.54987343
2019,Feb,3.8,4.5,0.399101683
2019,Mar,3.4,2.2,0.195116378
2019,Apr,3.2,0.5,0.044344631
2019,May,3.2,-1.1,-0.097558189
2019,Jun,2.7,-2.4,-0.212854231
2019,Jul,2.2,-4.2,-0.372494904
2019,Aug,1.4,-7.1,-0.629693767
2019,Sep,0.5,-11.8,-1.046533302
2019,Oct,0.6,-13.3,-1.179567197
2019,Nov,1.2,-11.2,-0.993319744
2019,Dec,2.4,-9.6,-0.851416924
2020,Jan,3,-9.3,-0.824810145
2020,Feb,2.5,-9.1,-0.807072292
2020,Mar,2.2,-8.4,-0.744989808
2020,Apr,1.8,-5.7,-0.505528799
2020,May,1.6,-3.9,-0.345888125
2020,Jun,2.3,-2.8,-0.248329936
2020,Jul,2.4,-1.6,-0.141902821
2020,Aug,2.2,-1.3,-0.115296042
2020,Sep,2.2,-0.7,-0.062082484
2020,Oct,2.3,-0.5,-0.044344631
2020,Nov,3,-0.3,-0.026606779
2020,Dec,3.3,0.1,0.008868926
2021,Jan,3.7,0.3,0.026606779
2021,Feb,4.2,0.7,0.062082484
2021,Mar,4.1,1,0.088689263
2021,Apr,4.1,-0.8,-0.07095141
2021,May,4.1,-1.4,-0.124164968
2021,Jun,3.7,-2.1,-0.186247452
2021,Jul,3.7,-2.2,-0.195116378
2021,Aug,4.4,-1.5,-0.133033894
2021,Sep,4.2,-1.3,-0.115296042
2021,Oct,4,-0.4,-0.035475705
2021,Nov,3.7,0,0
2021,Dec,3.1,-0.1,-0.008868926
2022,Jan,3,1,0.088689263
2022,Feb,3,1.6,0.141902821
2022,Mar,4,1.6,0.141902821
2022,Apr,4.9,1.6,0.141902821
2022,May,5.4,1.5,0.133033894
2022,Jun,6.1,2,0.177378526
2022,Jul,6.4,2.1,0.186247452
2022,Aug,6.3,2.2,0.195116378
2022,Sep,6.9,2.4,0.212854231
2022,Oct,7.7,2.5,0.221723157
2022,Nov,8,3.1,0.274936715
2022,Dec,8.1,3.4,0.301543494
2023,Jan,8.7,2.7,0.23946101
2023,Feb,8.6,2.2,0.195116378
2023,Mar,7.6,2.6,0.230592084
2023,Apr,6.6,2.9,0.257198862
2023,May,6.1,3.4,0.301543494
2023,Jun,5.4,3.6,0.319281346
2023,Jul,4.7,4.2,0.372494904
2023,Aug,5.3,8.7,0.771596587
2023,Sep,6.1,17.9,1.587537806
2023,Oct,4.9,13.2,1.17069827
2023,Nov,4.1,15.8,1.401290354
2023,Dec,3.9,19.6,1.738309553
2024,Jan,2.8,22.6,2.004377342
2024,Feb,3.4,23.7,2.101935531
2024,Mar,3.7,24.4,2.164018015
2024,Apr,3.8,23.9,2.119673383
2024,May,3.9,23,2.039853047
2024,Jun,3.7,22.5,1.995508415
2024,Jul,4.4,20.9,1.853605595
2024,Aug,3.3,14.7,1.303732165
2024,Sep,1.9,5.7,0.505528799
2024,Oct,2.3,9.6,0.851416924
2024,Nov,2.5,5.1,0.452315241
2024,Dec,2.9,0.8,0.07095141
2025,Jan,2.9,-2.3,-0.203985305
2025,Feb,2.1,-4.9,-0.434577388
2025,Mar,1.8,-7.7,-0.682907324
2025,Apr,1.4,-10.9,-0.966712966
2025,May,1.3,-12.8,-1.135222565
2025,Jun,1.4,-14.3,-1.268256459
