Stock,Year,Month,Inventory
Total,1980,January,1885300
Total,1980,February,1819000
Total,1980,March,1815600
Total,1980,April,1753400
Total,1980,May,1812900
Total,1980,June,1725200
Total,1980,July,1575200
Total,1980,August,1359100
Total,1980,September,1197600
Total,1980,October,1199800
Total,1980,November,1468600
Total,1980,December,1722700
Total,1981,January,1646500
Total,1981,February,1452800
Total,1981,March,1427100
Total,1981,April,1543900
Total,1981,May,1573800
Total,1981,June,1428300
Total,1981,July,1330600
Total,1981,August,1103200
Total,1981,September,1037800
Total,1981,October,1050800
Total,1981,November,1390500
Total,1981,December,1657100
Total,1982,January,1611200
Total,1982,February,1515900
Total,1982,March,1494200
Total,1982,April,1649300
Total,1982,May,1758600
Total,1982,June,1698900
Total,1982,July,1519700
Total,1982,August,1325100
Total,1982,September,1149800
Total,1982,October,1299100
Total,1982,November,1737600
Total,1982,December,1876400
Total,1983,January,1866400
Total,1983,February,1712900
Total,1983,March,1706900
Total,1983,April,1825900
Total,1983,May,1872300
Total,1983,June,1754100
Total,1983,July,1478000
Total,1983,August,1172200
Total,1983,September,912900
Total,1983,October,763900
Total,1983,November,1063300
Total,1983,December,1543700
Total,1984,January,1491300
Total,1984,February,1303900
Total,1984,March,1170900
Total,1984,April,1318000
Total,1984,May,1482200
Total,1984,June,1269200
Total,1984,July,990100
Total,1984,August,848500
Total,1984,September,692400
Total,1984,October,795300
Total,1984,November,1004500
Total,1984,December,1214400
Total,1985,January,1144300
Total,1985,February,1004500
Total,1985,March,919000
Total,1985,April,1043000
Total,1985,May,1113100
Total,1985,June,1109300
Total,1985,July,999500
Total,1985,August,903500
Total,1985,September,864500
Total,1985,October,1045800
Total,1985,November,1597500
Total,1985,December,1853500
Total,1986,January,1754500
Total,1986,February,1593800
Total,1986,March,1541900
Total,1986,April,1699600
Total,1986,May,1771000
Total,1986,June,1701100
Total,1986,July,1541200
Total,1986,August,1382900
Total,1986,September,1251900
Total,1986,October,1305000
Total,1986,November,1738500
Total,1986,December,1946200
Total,1987,January,2017100
Total,1987,February,1724400
Total,1987,March,1636100
Total,1987,April,1741900
Total,1987,May,1728100
Total,1987,June,1669300
Total,1987,July,1417200
Total,1987,August,1135600
Total,1987,September,923000
Total,1987,October,927700
Total,1987,November,1366000
Total,1987,December,1617100
Total,1988,January,1575000
Total,1988,February,1382400
Total,1988,March,1418900
Total,1988,April,1778000
Total,1988,May,1669800
Total,1988,June,1578700
Total,1988,July,1230800
Total,1988,August,1058800
Total,1988,September,1012300
Total,1988,October,1248200
Total,1988,November,1548000
Total,1988,December,1723900
Total,1989,January,1517600
Total,1989,February,1292100
Total,1989,March,1186600
Total,1989,April,1320300
Total,1989,May,1394300
Total,1989,June,1192700
Total,1989,July,1079700
Total,1989,August,889800
Total,1989,September,920800
Total,1989,October,1213200
Total,1989,November,1415400
Total,1989,December,1517000
Total,1990,January,1689500
Total,1990,February,1568000
Total,1990,March,1560500
Total,1990,April,1485200
Total,1990,May,1612900
Total,1990,June,1486400
Total,1990,July,1366600
Total,1990,August,1283400
Total,1990,September,1180000
Total,1990,October,1208200
Total,1990,November,1729600
Total,1990,December,2232900
Total,1991,January,1899300
Total,1991,February,1739000
Total,1991,March,1692800
Total,1991,April,2011700
Total,1991,May,2004400
Total,1991,June,2125400
Total,1991,July,1821200
Total,1991,August,1560100
Total,1991,September,1344200
Total,1991,October,1445200
Total,1991,November,1776100
Total,1991,December,1970000
Total,1992,January,2120400
Total,1992,February,1809700
Total,1992,March,1693200
Total,1992,April,1848800
Total,1992,May,1772300
Total,1992,June,1678100
Total,1992,July,1627200
Total,1992,August,1273300
Total,1992,September,1057400
Total,1992,October,948500
Total,1992,November,1356500
Total,1992,December,1550000
Total,1993,January,1673100
Total,1993,February,1404600
Total,1993,March,1211600
Total,1993,April,1341700
Total,1993,May,1451400
Total,1993,June,1332300
Total,1993,July,1368900
Total,1993,August,1028100
Total,1993,September,868300
Total,1993,October,892800
Total,1993,November,1250000
Total,1993,December,1490400
Total,1994,January,1444300
Total,1994,February,1157000
Total,1994,March,1092600
Total,1994,April,1362400
Total,1994,May,1408200
Total,1994,June,1353600
Total,1994,July,1258000
Total,1994,August,989900
Total,1994,September,888900
Total,1994,October,1076900
Total,1994,November,1580600
Total,1994,December,1706500
Total,1995,January,1497800
Total,1995,February,1260800
Total,1995,March,1120100
Total,1995,April,1253000
